trial,t,x,y
8,0.40484634500171524,-7,-3
8,0.41151831400202354,-13,-7
8,0.41803414300011354,-19,-12
8,0.4248550049996993,-27,-18
8,0.43252608500188217,-36,-24
8,0.43923547500162385,-45,-31
8,0.4468660180027655,-54,-38
8,0.4532803710026201,-64,-46
8,0.4603809399995953,-73,-52
8,0.46767692000139505,-80,-58
8,0.4746113780020096,-87,-63
8,0.48172477400294156,-92,-67
8,0.48838106599941966,-97,-71
8,0.4952984190022107,-100,-74
8,0.5022061689996917,-105,-78
8,0.5088605000019015,-109,-82
8,0.5157929970009718,-114,-87
8,0.5229856620026112,-118,-92
8,0.530435311000474,-123,-97
8,0.5376715430029435,-129,-103
8,0.5447261340013938,-133,-109
8,0.5516955929997494,-137,-114
8,0.5587496719999763,-140,-118
8,0.5655366380015039,-143,-122
8,0.5729663710008026,-146,-125
8,0.5796756529998675,-148,-127
8,0.5866685370019695,-149,-130
8,0.5936418640012562,-151,-132
8,0.6007340710020799,-153,-134
8,0.6076913910001167,-154,-135
8,0.6147009670021362,-155,-137
8,0.6217007690029277,-157,-139
8,0.6288245240029937,-158,-140
8,0.6357114830025239,-159,-141
8,0.6429154480028956,-159,-142
8,0.6498749490019691,-160,-142
8,0.6568827129995043,-161,-143
8,0.6638668240011611,-161,-144
8,0.6710898350029311,-162,-144
8,0.6780269490009232,-163,-145
8,0.6849400400024024,-164,-146
8,0.6918214659999649,-165,-147
8,0.6988902789998974,-166,-148
8,0.7060054160028812,-167,-150
8,0.7129685190011514,-169,-152
8,0.7199886210000841,-171,-153
8,0.7271764300021459,-172,-155
8,0.7339622950021294,-174,-156
8,0.7409986420025234,-175,-157
8,0.7480064209994453,-175,-158
8,0.7549563590000616,-176,-159
8,0.7621015490003629,-177,-159
8,0.7695621750026476,-177,-160
8,0.7763640869998198,-178,-160
8,0.7834470760026306,-178,-160
8,0.7904303960021934,-178,-161
8,0.7971273360017221,-179,-161
8,0.804188439000427,-179,-161
8,0.8114342340013536,-179,-162
8,0.8256159699994896,-179,-162
8,0.8325981310008501,-179,-162
8,0.8393123500027286,-179,-162
8,0.8466521390000707,-179,-163
8,0.853643804002786,-179,-163
8,0.8677934660008759,-179,-163
8,0.8890831230019103,-179,-163
8,1.5272455980011728,-179,-164
8,1.5341939000027196,-180,-164
8,1.5413493880005262,-180,-165
8,1.548448453002493,-180,-166
8,1.555538193002576,-180,-166
8,1.5622807020008622,-180,-167
8,1.5692924979994132,-180,-168
8,1.5767207780008903,-180,-168
8,1.5838149650007836,-180,-169
8,1.5902651180003886,-180,-170
8,1.59773383799984,-180,-170
8,1.6048069490025227,-180,-171
8,1.611508367001079,-180,-171
8,1.6189047230000142,-180,-172
8,1.6252724660007516,-180,-172
8,1.6326743110003008,-180,-172
8,1.639953162000893,-180,-173
8,1.6465816750023805,-180,-173
8,1.653640673001064,-180,-173
8,1.6606205330026569,-180,-173
8,1.6678006270012702,-180,-174
8,1.6747517639996659,-180,-174
8,1.6813751570007298,-180,-174
8,1.8988633430017217,-180,-174
9,0.0,1,-3
9,0.4621620069992787,-2,-9
9,0.46942200099874754,-2,-17
9,0.4761425969991251,-2,-26
9,0.48332709399983287,-3,-33
9,0.4903323899998213,-3,-40
9,0.4973365149999154,-4,-44
9,0.5043664240001817,-4,-48
9,0.5109470450006484,-4,-52
9,0.5180009649993735,-5,-55
9,0.5299114679983177,-5,-58
9,0.532358596999984,-5,-62
9,0.5393327400015551,-5,-65
9,0.5463123580011597,-5,-68
9,0.5532371779991081,-5,-71
9,0.5602853810014494,-5,-74
9,0.5673077409992402,-5,-76
9,0.5742627010004071,-5,-77
9,0.5812201619992265,-5,-79
9,0.5882705900003202,-5,-80
9,0.5953777879985864,-5,-82
9,0.6024674729997059,-5,-84
9,0.6094182029992226,-5,-86
9,0.6164110610006901,-4,-89
9,0.623435794001125,-4,-93
9,0.6310006759995304,-3,-98
9,0.637397410999256,-2,-102
9,0.644513930001267,-1,-107
9,0.6515256909988238,0,-111
9,0.6585482519985817,0,-114
9,0.6655075919989031,1,-116
9,0.6725120439987222,1,-118
9,0.6795194080004876,1,-119
9,0.6866002970018599,1,-120
9,0.6936045729999023,1,-121
9,0.7005564110004343,1,-121
9,0.7076347559996066,1,-122
9,0.7146693760005292,1,-122
9,0.7216746039994177,1,-122
9,0.7290846659998351,1,-123
9,0.7357976050006982,1,-123
9,0.7426781499998469,1,-123
9,0.7499909250000201,1,-123
9,0.757032726000034,1,-124
9,0.7640765979995194,1,-124
9,0.7710177350018057,1,-124
9,0.7779777670002659,1,-125
9,0.7847394890013675,1,-125
9,0.7922961170006602,1,-125
9,0.7992054729984375,1,-125
9,0.8062051390006673,1,-126
9,0.8131926839996595,1,-126
9,0.8204189969983418,1,-126
9,0.8410868930004654,1,-127
9,0.848111905001133,1,-127
9,1.6414478810002038,1,-127
9,1.6487812349987507,1,-126
9,1.6555867710012535,1,-126
9,1.66256085400164,1,-126
9,1.6696034330016118,1,-126
9,1.6765063759994518,1,-125
9,1.6836061350004456,1,-125
9,1.690662673998304,1,-125
9,1.6977652409987058,1,-124
9,1.7047267380003177,1,-124
9,1.7118615780018445,1,-124
9,1.719069678998494,1,-123
9,1.7254723730002297,1,-123
9,1.732893847998639,1,-123
9,1.9924822479988507,1,-123
10,0.0,5,3
10,0.4553734569999506,2,4
10,0.4621265329988091,0,2
10,0.46919164700011606,-2,0
10,0.4760119359998498,-5,-3
10,0.48304580300100497,-7,-7
10,0.4901185179987806,-10,-10
10,0.49720453299960354,-14,-15
10,0.5041812889976427,-17,-19
10,0.5111716399987927,-20,-23
10,0.5181019759984338,-23,-27
10,0.5254165589976765,-25,-30
10,0.5321489489979285,-28,-34
10,0.5393031519997749,-31,-37
10,0.5461921520000033,-35,-41
10,0.5532963660007226,-38,-44
10,0.5604971569991903,-42,-47
10,0.5678411179978866,-45,-50
10,0.5744495680010004,-48,-53
10,0.5813360089996422,-52,-57
10,0.5883999329998915,-55,-59
10,0.5957870220008772,-58,-62
10,0.6024875990005967,-60,-64
10,0.6098157050000736,-62,-65
10,0.6164839310004027,-64,-67
10,0.6235321019994444,-66,-68
10,0.630872031000763,-67,-68
10,0.6375633459974779,-68,-69
